Name,Actualized Results,Target Group
Crime Rate for Victims of violence needing Public Safety,"Definition:""BMM Goal"":""A safe and secure community.""",Victims of violence
Crime Rate for Victims of disaster needing Public Safety,"Definition:""BMM Goal"":""A safe and secure community.""",Victims of disaster
Crime Rate for Victims of hate needing Public Safety,"Definition:""BMM Goal"":""A safe and secure community.""",Victims of hate
Crime Rate for Victims of fear needing Public Safety,"Definition:""BMM Goal"":""A safe and secure community.""",Victims of fear
Crime Rate for Victims of violence needing Law Enforcement,"Definition:""BMM Goal"":""A law biding community""",Victims of violence
Crime Rate for Victims of crime needing Law Enforcement,"Definition:""BMM Goal"":""A law biding community""",Victims of crime
Loss of lives due to fires for Victims of disaster needing Fire Safety,"Definition:""BMM Goal"":""A fire safe community""",Victims of disaster
Loss of lives due to fires for Victims of accidents needing Fire Safety,"Definition:""BMM Goal"":""A fire safe community""",Victims of accidents
Loss of property due to fires for Victims of disaster needing Fire Safety,"Definition:""BMM Goal"":""A fire safe community""",Victims of disaster
Loss of property due to fires for Victims of accidents needing Fire Safety,"Definition:""BMM Goal"":""A fire safe community""",Victims of accidents
Construction accidents for Victims of construction accidents needing Construction Safety,"Definition:""BMM Goal"":""A construction safe community""",Victims of construction accidents
Traffic accidents for Victims of traffic accidents needing Transportation Safety,"Definition:""BMM Goal"":""A transportation safe community""",Victims of traffic accidents
Business Investment for Businesses needing Economic Development,"Definition:""BMM Goal"":""Focused economic growth, stability and prosperity.""",Businesses
Business Investment for Employers needing Economic Development,"Definition:""BMM Goal"":""Focused economic growth, stability and prosperity.""",Employers
Business Investment for Employees needing Economic Development,"Definition:""BMM Goal"":""Focused economic growth, stability and prosperity.""",Employees
Employment Rate for Businesses needing Economic Development,"Definition:""BMM Goal"":""Focused economic growth, stability and prosperity.""",Businesses
Employment Rate for Employers needing Economic Development,"Definition:""BMM Goal"":""Focused economic growth, stability and prosperity.""",Employers
Employment Rate for Employees needing Economic Development,"Definition:""BMM Goal"":""Focused economic growth, stability and prosperity.""",Employees
